date,credit_gdp_gap,abs_gdp,market_debt_share,sloos_ci,cape,buffett,courbe_10a3m,m2_yoy,taux_reel_10a,baa_aaa_spread,vix,nfci_leverage,margin_loans_z1,current_account_gdp,top1_wealth_share,net_equity_issuance_gdp,corp_debt_to_profits
1892-03-01,,,,,2.4278325548242545,,,,,,,,,,,,
1892-04-01,,,,,2.494519043062233,,,,,,,,,,,,
1892-05-01,,,,,2.411214934693403,,,,,,,,,,,,
1892-06-01,,,,,2.267980163025702,,,,,,,,,,,,
1892-07-01,,,,,1.8859671497983328,,,,,,,,,,,,
1892-08-01,,,,,1.8511470024895937,,,,,,,,,,,,
1892-09-01,,,,,1.5184161946979038,,,,,,,,,,,,
1892-10-01,,,,,1.7066619827811265,,,,,,,,,,,,
1892-11-01,,,,,1.3416506275603972,,,,,,,,,,,,
1892-12-01,,,,,1.06005123124969,,,,,,,,,,,,
1893-01-01,,,,,0.8385917724186107,,,,,,,,,,,,
1893-02-01,,,,,0.5131744884459055,,,,,,,,,,,,
1893-03-01,,,,,0.37417560613950945,,,,,,,,,,,,
1893-04-01,,,,,0.49618439229805583,,,,,,,,,,,,
1893-05-01,,,,,-0.3128521860551308,,,,,,,,,,,,
1893-06-01,,,,,-0.5346876446159126,,,,,,,,,,,,
1893-07-01,,,,,-1.1826658772745422,,,,,,,,,,,,
1893-08-01,,,,,-1.0289942265091272,,,,,,,,,,,,
1893-09-01,,,,,-0.7640642871576645,,,,,,,,,,,,
1893-10-01,,,,,-0.6013349501461801,,,,,,,,,,,,
1893-11-01,,,,,-0.18656609349611053,,,,,,,,,,,,
1893-12-01,,,,,-0.3893890680646831,,,,,,,,,,,,
1894-01-01,,,,,-0.30930783613592827,,,,,,,,,,,,
1894-02-01,,,,,-0.020868466095897927,,,,,,,,,,,,
1894-03-01,,,,,0.5921694241641133,,,,,,,,,,,,
1894-04-01,,,,,0.7433797279935346,,,,,,,,,,,,
1894-05-01,,,,,0.3494894798717536,,,,,,,,,,,,
1894-06-01,,,,,0.22146306008743688,,,,,,,,,,,,
1894-07-01,,,,,0.021670573306395952,,,,,,,,,,,,
1894-08-01,,,,,0.12763453485733672,,,,,,,,,,,,
1894-09-01,,,,,0.16807006249252165,,,,,,,,,,,,
1894-10-01,,,,,0.15523597126583757,,,,,,,,,,,,
1894-11-01,,,,,0.18014002459108044,,,,,,,,,,,,
1894-12-01,,,,,0.2623396763272804,,,,,,,,,,,,
1895-01-01,,,,,0.16679072370956588,,,,,,,,,,,,
1895-02-01,,,,,0.04225192922519549,,,,,,,,,,,,
1895-03-01,,,,,0.0636290928581372,,,,,,,,,,,,
1895-04-01,,,,,0.07824611731090775,,,,,,,,,,,,
1895-05-01,,,,,0.5263914621534177,,,,,,,,,,,,
1895-06-01,,,,,0.6067062996865396,,,,,,,,,,,,
1895-07-01,,,,,0.8235710255015484,,,,,,,,,,,,
1895-08-01,,,,,1.1604688096243627,,,,,,,,,,,,
1895-09-01,,,,,1.2339118442312675,,,,,,,,,,,,
1895-10-01,,,,,1.061062981436017,,,,,,,,,,,,
1895-11-01,,,,,0.6667073822391079,,,,,,,,,,,,
1895-12-01,,,,,0.14828039836345208,,,,,,,,,,,,
1896-01-01,,,,,0.1659891761936135,,,,,,,,,,,,
1896-02-01,,,,,0.7781543518871251,,,,,,,,,,,,
1896-03-01,,,,,0.5902437385063037,,,,,,,,,,,,
1896-04-01,,,,,0.856583813699659,,,,,,,,,,,,
1896-05-01,,,,,0.9728428472247854,,,,,,,,,,,,
1896-06-01,,,,,0.9347508792016359,,,,,,,,,,,,
1896-07-01,,,,,0.18363870429481263,,,,,,,,,,,,
1896-08-01,,,,,-0.43113598275025683,,,,,,,,,,,,
1896-09-01,,,,,0.12466778549660407,,,,,,,,,,,,
1896-10-01,,,,,0.054590500985423424,,,,,,,,,,,,
1896-11-01,,,,,0.48550891026030585,,,,,,,,,,,,
1896-12-01,,,,,0.09355851340267,,,,,,,,,,,,
1897-01-01,,,,,0.4428977306426488,,,,,,,,,,,,
1897-02-01,,,,,0.35319724273789743,,,,,,,,,,,,
1897-03-01,,,,,0.3949602677671203,,,,,,,,,,,,
1897-04-01,,,,,0.21879817101053367,,,,,,,,,,,,
1897-05-01,,,,,0.45388135303958405,,,,,,,,,,,,
1897-06-01,,,,,0.9909605698004242,,,,,,,,,,,,
1897-07-01,,,,,1.519385311785178,,,,,,,,,,,,
1897-08-01,,,,,1.740085695728033,,,,,,,,,,,,
1897-09-01,,,,,1.9609807224164142,,,,,,,,,,,,
1897-10-01,,,,,1.7150683294522628,,,,,,,,,,,,
1897-11-01,,,,,1.2639906766063955,,,,,,,,,,,,
1897-12-01,,,,,1.5094738519522066,,,,,,,,,,,,
1898-01-01,,,,,1.8193248277614131,,,,,,,,,,,,
1898-02-01,,,,,1.5889486459000426,,,,,,,,,,,,
1898-03-01,,,,,1.0127471081592543,,,,,,,,,,,,
1898-04-01,,,,,0.7898530421581176,,,,,,,,,,,,
1898-05-01,,,,,0.7158189439842139,,,,,,,,,,,,
1898-06-01,,,,,1.9661716195857553,,,,,,,,,,,,
1898-07-01,,,,,2.1409989595038432,,,,,,,,,,,,
1898-08-01,,,,,2.536405649772339,,,,,,,,,,,,
1898-09-01,,,,,2.430983040669293,,,,,,,,,,,,
1898-10-01,,,,,2.0932074202641475,,,,,,,,,,,,
1898-11-01,,,,,2.4148311917313476,,,,,,,,,,,,
1898-12-01,,,,,2.888981815349463,,,,,,,,,,,,
1899-01-01,,,,,3.682583464766999,,,,,,,,,,,,
1899-02-01,,,,,3.6259731999057534,,,,,,,,,,,,
1899-03-01,,,,,3.6334846383458403,,,,,,,,,,,,
1899-04-01,,,,,3.4562329251725883,,,,,,,,,,,,
1899-05-01,,,,,2.8247084347311815,,,,,,,,,,,,
1899-06-01,,,,,2.324001469266412,,,,,,,,,,,,
1899-07-01,,,,,2.4671335661632585,,,,,,,,,,,,
1899-08-01,,,,,2.510570416039157,,,,,,,,,,,,
1899-09-01,,,,,1.908556746728062,,,,,,,,,,,,
1899-10-01,,,,,1.6713927253790606,,,,,,,,,,,,
1899-11-01,,,,,1.6787584076678492,,,,,,,,,,,,
1899-12-01,,,,,0.8245346567380796,,,,,,,,,,,,
1900-01-01,,,,,0.9026976110772018,,,,,,,,,,,,
1900-02-01,,,,,0.9139703887961328,,,,,,,,,,,,
1900-03-01,,,,,0.9465103140074235,,,,,,,,,,,,
1900-04-01,,,,,1.0232893059583192,,,,,,,,,,,,
1900-05-01,,,,,0.750801947923622,,,,,,,,,,,,
1900-06-01,,,,,0.5412825912041742,,,,,,,,,,,,
1900-07-01,,,,,0.3864683979990289,,,,,,,,,,,,
1900-08-01,,,,,0.5780823802771953,,,,,,,,,,,,
1900-09-01,,,,,0.20707229622789028,,,,,,,,,,,,
1900-10-01,,,,,0.5934184263745852,,,,,,,,,,,,
1900-11-01,,,,,1.2595164053477566,,,,,,,,,,,,
1900-12-01,,,,,1.9163864939452429,,,,,,,,,,,,
1901-01-01,,,,,2.01386817983623,,,,,,,,,,,,
1901-02-01,,,,,2.335172712246897,,,,,,,,,,,,
1901-03-01,,,,,2.6251535464027955,,,,,,,,,,,,
1901-04-01,,,,,3.5394735377243904,,,,,,,,,,,,
1901-05-01,,,,,2.8377116887907126,,,,,,,,,,,,
1901-06-01,,,,,3.7482184075780665,,,,,,,,,,,,
1901-07-01,,,,,2.734130343404969,,,,,,,,,,,,
1901-08-01,,,,,2.6588498360404746,,,,,,,,,,,,
1901-09-01,,,,,2.4064935481307956,,,,,,,,,,,,
1901-10-01,,,,,2.2290879099724368,,,,,,,,,,,,
1901-11-01,,,,,2.255101174228114,,,,,,,,,,,,
1901-12-01,,,,,1.9324327108782215,,,,,,,,,,,,
1902-01-01,,,,,2.194101821488789,,,,,,,,,,,,
1902-02-01,,,,,2.219383321761326,,,,,,,,,,,,
1902-03-01,,,,,2.173373813764008,,,,,,,,,,,,
1902-04-01,,,,,2.3193337483134244,,,,,,,,,,,,
1902-05-01,,,,,2.129306136344897,,,,,,,,,,,,
1902-06-01,,,,,1.9172284631113587,,,,,,,,,,,,
1902-07-01,,,,,2.0714779601191444,,,,,,,,,,,,
1902-08-01,,,,,2.3649293629618824,,,,,,,,,,,,
1902-09-01,,,,,2.2114481256896052,,,,,,,,,,,,
1902-10-01,,,,,1.287996988272988,,,,,,,,,,,,
1902-11-01,,,,,1.2027161763479037,,,,,,,,,,,,
1902-12-01,,,,,0.8847595333408126,,,,,,,,,,,,
1903-01-01,,,,,1.1579501971808488,,,,,,,,,,,,
1903-02-01,,,,,1.0679001801664778,,,,,,,,,,,,
1903-03-01,,,,,0.9739909616573684,,,,,,,,,,,,
1903-04-01,,,,,0.6051522797585527,,,,,,,,,,,,
1903-05-01,,,,,0.5934277681890716,,,,,,,,,,,,
1903-06-01,,,,,0.13067045121629162,,,,,,,,,,,,
1903-07-01,,,,,-0.23602063956241745,,,,,,,,,,,,
1903-08-01,,,,,-0.4877895969159444,,,,,,,,,,,,
1903-09-01,,,,,-0.7493887797320616,,,,,,,,,,,,
1903-10-01,,,,,-0.9106721447295301,,,,,,,,,,,,
1903-11-01,,,,,-0.8445817039349883,,,,,,,,,,,,
1903-12-01,,,,,-0.5829756950873802,,,,,,,,,,,,
1904-01-01,,,,,-0.6555555328200262,,,,,,,,,,,,
1904-02-01,,,,,-0.9970449179488928,,,,,,,,,,,,
1904-03-01,,,,,-0.9688450966993155,,,,,,,,,,,,
1904-04-01,,,,,-0.7680609703462036,,,,,,,,,,,,
1904-05-01,,,,,-0.7821143957441212,,,,,,,,,,,,
1904-06-01,,,,,-0.8009096464367662,,,,,,,,,,,,
1904-07-01,,,,,-0.5683051608069032,,,,,,,,,,,,
1904-08-01,,,,,-0.45680307477726545,,,,,,,,,,,,
1904-09-01,,,,,-0.2755792199315008,,,,,,,,,,,,
1904-10-01,,,,,0.09233085853706101,,,,,,,,,,,,
1904-11-01,,,,,0.2752220039103811,,,,,,,,,,,,
1904-12-01,,,,,0.3092507125814499,,,,,,,,,,,,
1905-01-01,,,,,0.4330323403486845,,,,,,,,,,,,
1905-02-01,,,,,0.7260628826570646,,,,,,,,,,,,
1905-03-01,,,,,0.9983964778657739,,,,,,,,,,,,
1905-04-01,,,,,0.8507759222861296,,,,,,,,,,,,
1905-05-01,,,,,0.49430414923032384,,,,,,,,,,,,
1905-06-01,,,,,0.5374823083733404,,,,,,,,,,,,
1905-07-01,,,,,0.7318075415194606,,,,,,,,,,,,
1905-08-01,,,,,0.8826663231254831,,,,,,,,,,,,
1905-09-01,,,,,0.95073962422448,,,,,,,,,,,,
1905-10-01,,,,,1.0116269530683746,,,,,,,,,,,,
1905-11-01,,,,,0.819594452290597,,,,,,,,,,,,
1905-12-01,,,,,0.873248398389572,,,,,,,,,,,,
1906-01-01,,,,,1.1011718314156564,,,,,,,,,,,,
1906-02-01,,,,,0.9868159623745163,,,,,,,,,,,,
1906-03-01,,,,,0.7309307528215392,,,,,,,,,,,,
1906-04-01,,,,,0.5692554401300933,,,,,,,,,,,,
1906-05-01,,,,,0.22431564474880056,,,,,,,,,,,,
1906-06-01,,,,,0.2736254530751154,,,,,,,,,,,,
1906-07-01,,,,,0.2826011948546256,,,,,,,,,,,,
1906-08-01,,,,,0.6062946798675379,,,,,,,,,,,,
1906-09-01,,,,,0.7030996904273823,,,,,,,,,,,,
1906-10-01,,,,,0.23636013239908815,,,,,,,,,,,,
1906-11-01,,,,,0.2555535007284867,,,,,,,,,,,,
1906-12-01,,,,,0.05161287862816576,,,,,,,,,,,,
1907-01-01,,,,,-0.135081486584418,,,,,,,,,,,,
1907-02-01,,,,,-0.5591162862087179,,,,,,,,,,,,
1907-03-01,,,,,-1.2042819860037033,,,,,,,,,,,,
1907-04-01,,,,,-1.2071309243021413,,,,,,,,,,,,
1907-05-01,,,,,-1.5716336977715344,,,,,,,,,,,,
1907-06-01,,,,,-1.8322928854960532,,,,,,,,,,,,
1907-07-01,,,,,-1.6369046680879844,,,,,,,,,,,,
1907-08-01,,,,,-2.0702020138712105,,,,,,,,,,,,
1907-09-01,,,,,-2.1289355829343046,,,,,,,,,,,,
1907-10-01,,,,,-2.7155321835600823,,,,,,,,,,,,
1907-11-01,,,,,-2.776358069368582,,,,,,,,,,,,
1907-12-01,,,,,-2.4470428906224972,,,,,,,,,,,,
1908-01-01,,,,,-2.196709223105059,,,,,,,,,,,,
1908-02-01,,,,,-2.3136997657484746,,,,,,,,,,,,
1908-03-01,,,,,-2.1239501448846654,,,,,,,,,,,,
1908-04-01,,,,,-1.9256394433085107,,,,,,,,,,,,
1908-05-01,,,,,-1.6670532680275325,,,,,,,,,,,,
1908-06-01,,,,,-1.6679524701713846,,,,,,,,,,,,
1908-07-01,,,,,-1.544454893818366,,,,,,,,,,,,
1908-08-01,,,,,-1.3274977109034072,,,,,,,,,,,,
1908-09-01,,,,,-1.3929417270408362,,,,,,,,,,,,
1908-10-01,,,,,-1.3909453303784038,,,,,,,,,,,,
1908-11-01,,,,,-1.0964783354178913,,,,,,,,,,,,
1908-12-01,,,,,-1.0356541488716582,,,,,,,,,,,,
1909-01-01,,,,,-0.9618228215933741,,,,,,,,,,,,
1909-02-01,,,,,-1.1908810071388403,,,,,,,,,,,,
1909-03-01,,,,,-1.1211823145421318,,,,,,,,,,,,
1909-04-01,,,,,-0.9975872451358707,,,,,,,,,,,,
1909-05-01,,,,,-0.8749822078515296,,,,,,,,,,,,
1909-06-01,,,,,-0.8389438950246166,,,,,,,,,,,,
1909-07-01,,,,,-0.7625544550932369,,,,,,,,,,,,
1909-08-01,,,,,-0.6883511273064715,,,,,,,,,,,,
1909-09-01,,,,,-0.7504540100979361,,,,,,,,,,,,
1909-10-01,,,,,-0.8522724307990417,,,,,,,,,,,,
1909-11-01,,,,,-0.9449123536640429,,,,,,,,,,,,
1909-12-01,,,,,-0.9403955483433988,,,,,,,,,,,,
1910-01-01,,,,,-1.0168298498356036,,,,,,,,,,,,
1910-02-01,,,,,-1.2261933924497839,,,,,,,,,,,,
1910-03-01,,,,,-1.2032009722092942,,,,,,,,,,,,
1910-04-01,,,,,-1.3890664095086767,,,,,,,,,,,,
1910-05-01,,,,,-1.3798705849355948,,,,,,,,,,,,
1910-06-01,,,,,-1.5861268737817196,,,,,,,,,,,,
1910-07-01,,,,,-1.8382016674622472,,,,,,,,,,,,
1910-08-01,,,,,-1.6730675573238531,,,,,,,,,,,,
1910-09-01,,,,,-1.590803738425553,,,,,,,,,,,,
1910-10-01,,,,,-1.2076197896320555,,,,,,,,,,,,
1910-11-01,,,,,-1.1093752463683426,,,,,,,,,,,,
1910-12-01,,,,,-1.2679232821554824,,,,,,,,,,,,
1911-01-01,,,,,-1.145642321224815,,,,,,,,,,,,
1911-02-01,,,,,-0.8844978230110544,,,,,,,,,,,,
1911-03-01,,,,,-1.0168306825608442,,,,,,,,,,,,
1911-04-01,,,,,-0.8674325999452196,,,,,,,,,,,,
1911-05-01,,,,,-0.7522202888796984,,,,,,,,,,,,
1911-06-01,,,,,-0.6427256236184082,,,,,,,,,,,,
1911-07-01,,,,,-0.7358329959598662,,,,,,,,,,,,
1911-08-01,,,,,-1.188920330981787,,,,,,,,,,,,
1911-09-01,,,,,-1.5300361971030323,,,,,,,,,,,,
1911-10-01,,,,,-1.4970302584624053,,,,,,,,,,,,
1911-11-01,,,,,-1.2383390281859155,,,,,,,,,,,,
1911-12-01,,,,,-1.1573277667816944,,,,,,,,,,,,
1912-01-01,,,,,-1.2049416023069057,,,,,,,,,,,,
1912-02-01,,,,,-1.3013228166371422,,,,,,,,,,,,
1912-03-01,,,,,-1.2555078328773999,,,,,,,,,,,,
1912-04-01,,,,,-1.2456522571991688,,,,,,,,,,,,
1912-05-01,,,,,-1.2448245764213506,,,,,,,,,,,,
1912-06-01,,,,,-1.1874724075554237,,,,,,,,,,,,
1912-07-01,,,,,-1.1770708289364569,,,,,,,,,,,,
1912-08-01,,,,,-1.1042969810446714,,,,,,,,,,,,
1912-09-01,,,,,-1.1232956345012526,,,,,,,,,,,,
1912-10-01,,,,,-1.1280208419527133,,,,,,,,,,,,
1912-11-01,,,,,-1.1836979862519645,,,,,,,,,,,,
1912-12-01,,,,,-1.3166048723876602,,,,,,,,,,,,
1913-01-01,,,,,-1.403028331026881,,,,,,,,,,,,
1913-02-01,,,,,-1.5730384295913356,,,,,,,,,,,,
1913-03-01,,,,,-1.6560041901526905,,,,,,,,,,,,
1913-04-01,,,,,-1.6519378910883125,,,,,,,,,,,,
1913-05-01,,,,,-1.723161613230672,,,,,,,,,,,,
1913-06-01,,,,,-1.9857500526382261,,,,,,,,,,,,
1913-07-01,,,,,-1.957705645665295,,,,,,,,,,,,
1913-08-01,,,,,-1.830264321622713,,,,,,,,,,,,
1913-09-01,,,,,-1.821477148931551,,,,,,,,,,,,
1913-10-01,,,,,-1.9479547485767847,,,,,,,,,,,,
1913-11-01,,,,,-2.0817584330634236,,,,,,,,,,,,
1913-12-01,,,,,-2.0309662454608426,,,,,,,,,,,,
1914-01-01,,,,,-1.8505270582356215,,,,,,,,,,,,
1914-02-01,,,,,-1.7410629309985293,,,,,,,,,,,,
1914-03-01,,,,,-1.813445127452926,,,,,,,,,,,,
1914-04-01,,,,,-1.8623593650842265,,,,,,,,,,,,
1914-05-01,,,,,-1.867680930270738,,,,,,,,,,,,
1914-06-01,,,,,-1.8752761320790317,,,,,,,,,,,,
1914-07-01,,,,,-2.1259555428757895,,,,,,,,,,,,
1914-08-01,,,,,-2.1829761418635547,,,,,,,,,,,,
1914-09-01,,,,,-2.164569722021176,,,,,,,,,,,,
1914-10-01,,,,,-2.1102122012213718,,,,,,,,,,,,
1914-11-01,,,,,-2.129577600722948,,,,,,,,,,,,
1914-12-01,,,,,-2.2347648328031475,,,,,,,,,,,,
1915-01-01,,,,,-2.153764881368264,,,,,,,,,,,,
1915-02-01,,,,,-2.1493760343880197,,,,,,,,,,,,
1915-03-01,,,,,-2.005526647605017,,,,,,,,,,,,
1915-04-01,,,,,-1.7557503829359673,,,,,,,,,,,,
1915-05-01,,,,,-1.8749927559668518,,,,,,,,,,,,
1915-06-01,,,,,-1.821444817751749,,,,,,,,,,,,
1915-07-01,,,,,-1.8258130363449478,,,,,,,,,,,,
1915-08-01,,,,,-1.6565337400462545,,,,,,,,,,,,
1915-09-01,,,,,-1.5044159070717922,,,,,,,,,,,,
1915-10-01,,,,,-1.3162344429444697,,,,,,,,,,,,
1915-11-01,,,,,-1.2072000759079264,,,,,,,,,,,,
1915-12-01,,,,,-1.1966383789132538,,,,,,,,,,,,
1916-01-01,,,,,-1.3067360905223506,,,,,,,,,,,,
1916-02-01,,,,,-1.3665028572665348,,,,,,,,,,,,
1916-03-01,,,,,-1.4219075377406274,,,,,,,,,,,,
1916-04-01,,,,,-1.50812633215877,,,,,,,,,,,,
1916-05-01,,,,,-1.461994892315743,,,,,,,,,,,,
1916-06-01,,,,,-1.466814808928919,,,,,,,,,,,,
1916-07-01,,,,,-1.5301886537095515,,,,,,,,,,,,
1916-08-01,,,,,-1.5440326662389994,,,,,,,,,,,,
1916-09-01,,,,,-1.4668389356759932,,,,,,,,,,,,
1916-10-01,,,,,-1.4276296737874499,,,,,,,,,,,,
1916-11-01,,,,,-1.4201064788980446,,,,,,,,,,,,
1916-12-01,,,,,-1.6284373498413725,,,,,,,,,,,,
1917-01-01,,,,,-1.7614918539258977,,,,,,,,,,,,
1917-02-01,,,,,-2.0602328717950273,,,,,,,,,,,,
1917-03-01,,,,,-1.9610927783964338,,,,,,,,,,,,
1917-04-01,,,,,-2.1737563535327813,,,,,,,,,,,,
1917-05-01,,,,,-2.323980513886557,,,,,,,,,,,,
1917-06-01,,,,,-2.3041354950444237,,,,,,,,,,,,
1917-07-01,,,,,-2.3342391664414217,,,,,,,,,,,,
1917-08-01,,,,,-2.4549124710397336,,,,,,,,,,,,
1917-09-01,,,,,-2.6325863303172525,,,,,,,,,,,,
1917-10-01,,,,,-2.7861026550756773,,,,,,,,,,,,
1917-11-01,,,,,-2.955726243302665,,,,,,,,,,,,
1917-12-01,,,,,-3.0282327412021406,,,,,,,,,,,,
1918-01-01,,,,,-2.9246797523298573,,,,,,,,,,,,
1918-02-01,,,,,-2.8502970606553366,,,,,,,,,,,,
1918-03-01,,,,,-2.8509305443404713,,,,,,,,,,,,
1918-04-01,,,,,-2.8714959178367305,,,,,,,,,,,,
1918-05-01,,,,,-2.8240702216219242,,,,,,,,,,,,
1918-06-01,,,,,-2.8214374484041227,,,,,,,,,,,,
1918-07-01,,,,,-2.830049606735298,,,,,,,,,,,,
1918-08-01,,,,,-2.821842949355714,,,,,,,,,,,,
1918-09-01,,,,,-2.8382836000241096,,,,,,,,,,,,
1918-10-01,,,,,-2.7701205100802855,,,,,,,,,,,,
1918-11-01,,,,,-2.7319013356077297,,,,,,,,,,,,
